manufacturer,model_name,price,url,movement_type,metal_type,hour_markers,bezel_type,years_available,discontinued
Patek Philippe,Calatrava,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-calatrava-pilot-travel-time.html,Automatic,Rose Gold,Arabic,Smooth,2010 - Present,Not listed
Patek Philippe,Nautilus,Not listed,https://www.bobswatches.com/patek-philippe/patek-philippe-nautilus-chronograph-stainless-steel.html,Automatic,Stainless Steel,Index,Smooth,2000s,Not listed
Audemars Piguet,Jules Audemars,19995.00,https://www.bobswatches.com/audemars-piguet/audemars-piguet-jules-audemars-stainless-steel.html,Automatic,Stainless Steel,Arabic,Smooth,2000s,Yes
Audemars Piguet,Royal Oak Offshore,24995.00,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-offshore-chronograph-brown-dial.html,Automatic,Stainless Steel,Arabic,Smooth,2010 - Present,Yes
Audemars Piguet,Royal Oak Offshore,25995.00,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-offshore-diver-grey-dial.html,Automatic,Stainless Steel,Index,Not listed,2010 - Present,Not listed
Audemars Piguet,Royal Oak,81995.00,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-diamonds.html,Quartz,Yellow Gold,No Numerals,Diamond,Not listed,Yes
Audemars Piguet,Royal Oak Offshore,25995.00,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-offshore-42mm-stainless-steel.html,Automatic,Stainless Steel,Arabic,Smooth,2010 - Present,Yes
Audemars Piguet,Code 11.59,30995.00,https://www.bobswatches.com/audemars-piguet/audemars-piguet-code-1159-18k-pink-gold-green-dial.html,Automatic,Rose Gold,Index,Tachymetric,Not listed,No
Audemars Piguet,Royal Oak,24995.00,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-champagne-diamond-dial.html,Quartz,Yellow Gold,Diamond,Not listed,1990s,Yes
Audemars Piguet,Royal Oak,35995.00,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-tantalum-grey-dial.html,Automatic,Steel and Rose Gold,Index,Not listed,2010 - Present,Yes
Audemars Piguet,Royal Oak Offshore,18495.00,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-offshore-chronograph-48-shaquille-oneal-steel.html,Automatic,Stainless Steel,Arabic,Smooth,2010 - Present,Yes
Audemars Piguet,Royal Oak Offshore,23495.00,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-offshore-la-boutique-special-edition.html,Automatic,Stainless Steel,Diamond,Diamond,2000s,Yes
Audemars Piguet,Jules Audemars,29995.00,https://www.bobswatches.com/audemars-piguet/audemars-piguet-jules-audemars-equation-of-time-18k-white-gold.html,Automatic,White Gold,Roman,Not listed,2000s,Not listed
Audemars Piguet,Royal Oak Offshore Chronograph,Not listed,https://www.bobswatches.com/collections/audemars-piguet-royal-oak-offshore-chronograph-blue.html,Automatic,Stainless Steel,Arabic,Smooth,2010 - Present,Not listed
Audemars Piguet,Royal Oak,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-rose-gold-and-tantalum.html,Automatic,Stainless Steel,Index,Not listed,2010 - Present,Not listed
Audemars Piguet,Royal Oak,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-selfwinding-stainless-steel.html,Automatic,Stainless Steel,Index,Not listed,2010 - Present,Not listed
Audemars Piguet,Edward Piguet,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-edward-piguet-18k-rose-gold.html,Manual,Rose Gold,Roman,Smooth,2010 - Present,Not listed
Audemars Piguet,Royal Oak Offshore,Not listed,https://www.bobswatches.com/audemars-piguet/pre-owned-audemars-piguet-royal-oak-offshore-titanium.html,Automatic,Titanium,Arabic,Not listed,2010 - Present,Not listed
Audemars Piguet,Royal Oak,Not listed,https://www.bobswatches.com/audemars-piguet/mens-audemars-piguet-royal-oak-blue-dial.html,Automatic,Stainless Steel,Index,Not listed,2000s,Not listed
Audemars Piguet,Royal Oak,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-diamond-bezel.html,Automatic,Stainless Steel,Index,Diamond,2010 - Present,Not listed
Audemars Piguet,Royal Oak,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-silver-dial.html,Automatic,Stainless Steel,Index,Not listed,2000s,Not listed
Audemars Piguet,Code 11.59,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-code-1159-burgundy-dial.html,Automatic,White Gold,Arabic,Timing,Not listed,Not listed
Audemars Piguet,Royal Oak,Not listed,https://www.bobswatches.com/audemars-piguet/pre-owned-audemars-piguet-royal-oak-18k-rose-gold.html,Automatic,Rose Gold,Index,Not listed,2010 - Present,Not listed
Audemars Piguet,Royal Oak Offshore,Not listed,https://www.bobswatches.com/audemars-piguet/mens-audemars-piguet-royal-oak-offshore-titanium.html,Automatic,Titanium,Index,Not listed,1990s,Not listed
Audemars Piguet,Millenary,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-millenary-4101-stainless-steel.html,Automatic,Stainless Steel,Roman,Smooth,2010 - Present,Not listed
Audemars Piguet,Royal Oak,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-stainless-steel.html,Automatic,Stainless Steel,Index,Not listed,2010 - Present,Not listed
Audemars Piguet,Royal Oak Offshore,Not listed,https://www.bobswatches.com/audemars-piguet/pre-owned-audemars-piguet-royal-oak-offshore.html,Automatic,Stainless Steel,Arabic,Not listed,2010 - Present,Not listed
Audemars Piguet,Royal Oak,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-chronograph-stainless-steel.html,Automatic,Stainless Steel,Index,Not listed,2010 - Present,Not listed
Audemars Piguet,Royal Oak,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-offshore-chronograph-18k-rose-gold.html,Automatic,Rose Gold,Arabic,Not listed,2010 - Present,Not listed
Audemars Piguet,Royal Oak,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-18k-rose-gold.html,Automatic,Rose Gold,Index,Not listed,2010 - Present,Not listed
Audemars Piguet,Royal Oak,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-grey-ruthenium-dial.html,Automatic,Stainless Steel,Index,Not listed,2010 - Present,Not listed
Audemars Piguet,Royal Oak Offshore,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-offshore-light-brown-mega-tapisserie-dial.html,Automatic,Stainless Steel,Index,Ceramic,2010 - Present,Not listed
Audemars Piguet,Royal Oak,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-jumbo-extra-thin.html,Automatic,Rose Gold,Index,Not listed,2010 - Present,Not listed
Audemars Piguet,Royal Oak,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-royal-oak-grande-tapisserie-dial.html,Automatic,Stainless Steel,Index,Not listed,2010 - Present,Not listed
Audemars Piguet,Jules Audemars,Not listed,https://www.bobswatches.com/audemars-piguet/audemars-piguet-ultra-thin-18k-yellow-gold.html,Manual,Yellow Gold,Roman,Not listed,1980s,Not listed
Breitling,Superocean,2695.00,https://www.bobswatches.com/breitling/pre-owned-breitling-superocean-orange-dial.html,Automatic,Stainless Steel,Arabic,Timing,2010 - Present,Yes
Breitling,Navitimer,3695.00,https://www.bobswatches.com/breitling/breitling-navitimer-automatic-36-mint-green-dial.html,Automatic,Stainless Steel,Index,Slide Rule,2010 - Present,No
Breitling,Classic AVI,4195.00,https://www.bobswatches.com/breitling/breitling-classic-avi-chronograph-42-mosquito-black-dial.html,Automatic,Stainless Steel,Arabic,12-hour,2010 - Present,No
Breitling,Superocean,2895.00,https://www.bobswatches.com/breitling/pre-owned-breitling-superocean-ii-stainless-steel-blue-dial.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,Yes
Breitling,Navitimer,6595.00,https://www.bobswatches.com/breitling/breitling-navitimer-chronograph-green-dial.html,Automatic,Stainless Steel,Index,Slide Rule,2010 - Present,No
Breitling,Crosswind,4495.00,https://www.bobswatches.com/breitling/breitling-crosswind-chronograph-white-roman-dial.html,Automatic,Stainless Steel,Roman,Diamond,2000s,Yes
Breitling,Superocean 46,4495.00,https://www.bobswatches.com/breitling/breitling-superocean-automatic-46-super-diver-green-dial-and-strap.html,Automatic,Titanium,Index,Timing,2010 - Present,No
Breitling,Super AVI,8695.00,https://www.bobswatches.com/breitling/breitling-super-avi-b04-chronograph-gmt-46-tribute-to-vought-f4u-corsair-blue-dial.html,Automatic,Ceramic,Arabic,12-hour,2010 - Present,No
Breitling,Super AVI,8695.00,https://www.bobswatches.com/breitling/breitling-super-avi-b04-chronograph-gmt-46-tribute-to-vought-f4u-corsair-ceramic.html,Automatic,Ceramic,Arabic,12-hour,2010 - Present,No
Breitling,Super AVI,7995.00,https://www.bobswatches.com/breitling/breitling-super-avi-b04-chronograph-gmt-46-curtis-warhawk-green-dial.html,Automatic,Stainless Steel,Arabic,Smooth,2010 - Present,No
Breitling,Super AVI,7995.00,https://www.bobswatches.com/breitling/breitling-super-avi-b04-chronograph-gmt-46-p-51-mustang-stainless-steel.html,Automatic,Stainless Steel,Arabic,12-hour,2010 - Present,No
Breitling,Top Time,6095.00,https://www.bobswatches.com/breitling/breitling-top-time-b01-chevrolet-corvette-red-dial.html,Automatic,Stainless Steel,Index,Smooth,2010 - Present,No
Breitling,Top Time,6095.00,https://www.bobswatches.com/breitling/breitling-top-time-b01-deus-black-dial.html,Automatic,Stainless Steel,Index,Smooth,2010 - Present,No
Breitling,Top Time,6095.00,https://www.bobswatches.com/breitling/breitling-top-time-b01-shelby-cobra-blue-dial.html,Automatic,Stainless Steel,Index,Smooth,2010 - Present,No
Breitling,Top Time,6095.00,https://www.bobswatches.com/breitling/breitling-top-time-b01-ford-mustang-green-dial.html,Automatic,Stainless Steel,Index,Smooth,2010 - Present,No
Breitling,Superocean 46,4895.00,https://www.bobswatches.com/breitling/breitling-superocean-automatic-46-super-diver-green.html,Automatic,Titanium,Index,Timing,2010 - Present,No
Breitling,Superocean 46,4895.00,https://www.bobswatches.com/breitling/breitling-superocean-automatic-46-super-diver-black-dial-titanium.html,Automatic,Titanium,Index,Timing,2010 - Present,Not listed
Breitling,Super Avenger B01,7195.00,https://www.bobswatches.com/breitling/breitling-super-avenger-b01-chronograph-46-black-dial-titanium.html,Automatic,Titanium,Index,Timing,2010 - Present,No
Breitling,Avenger B01,5795.00,https://www.bobswatches.com/breitling/breitling-avenger-b01-chronograph-42-black-dial-and-strap.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,No
Breitling,Avenger B01,5795.00,https://www.bobswatches.com/breitling/breitling-avenger-b01-chronograph-42-blue-dial-and-strap.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,No
Breitling,Chronomat,6995.00,https://www.bobswatches.com/breitling/breitling-chronomat-36-blue-dial.html,Automatic,Stainless Steel,Index,Diamond,2010 - Present,Yes
Breitling,Navitimer,13995.00,https://www.bobswatches.com/breitling/breitling-navitimer-18k-red-gold-black-dial.html,Automatic,Rose Gold,Index,Slide Rule,2010 - Present,Yes
Breitling,Navitimer,4995.00,https://www.bobswatches.com/breitling/breitling-navitimer-8-b01-chronograph-43-blue-dial.html,Automatic,Stainless Steel,Arabic,Slide Rule,2010 - Present,Yes
Breitling,Aviator,3495.00,https://www.bobswatches.com/breitling/breitling-aviator-8-automatic-41-black-dial.html,Automatic,Stainless Steel,Arabic,Slide Rule,2010 - Present,No
Breitling,Avenger B01,5995.00,https://www.bobswatches.com/breitling/breitling-avenger-b01-chronograph-44-blue-dial-stainless-steel.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,No
Breitling,Avenger B01,5995.00,https://www.bobswatches.com/breitling/breitling-avenger-b01-chronograph-44-black-index-dial.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,No
Breitling,Avenger B01,5995.00,https://www.bobswatches.com/breitling/breitling-avenger-b01-chronograph-44-green-dial-stainless-steel.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,No
Breitling,Avenger B01,5795.00,https://www.bobswatches.com/breitling/breitling-avenger-b01-chronograph-44-blue-dial-and-strap.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,No
Breitling,Avenger B01,5795.00,https://www.bobswatches.com/breitling/breitling-avenger-b01-chronograph-44-black-dial-and-strap.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,No
Breitling,Avenger B01,5795.00,https://www.bobswatches.com/breitling/breitling-avenger-b01-chronograph-44-beige-dial.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,No
Breitling,Superocean 42,3495.00,https://www.bobswatches.com/breitling/breitling-superocean-automatic-42-yellow-dial.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,No
Breitling,Avenger,3995.00,https://www.bobswatches.com/breitling/pre-owned-breitling-avenger-black-arabic-dial.html,Automatic,Titanium,Arabic,Timing,2010 - Present,No
Breitling,Superocean,4295.00,https://www.bobswatches.com/breitling/breitling-superocean-heritage-ii-chronograph-46-blue-dial.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,Yes
Breitling,Chronomat,4795.00,https://www.bobswatches.com/breitling/pre-owned-breitling-chronomat-b01-42-stainless-steel-copper-dial.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,No
Breitling,Superocean,3195.00,https://www.bobswatches.com/breitling/breitling-superocean-heritage-chronograph-46.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,Yes
Breitling,Avenger Chronograph,4195.00,https://www.bobswatches.com/breitling/breitling-avenger-chronograph-gmt-45-blue-arabic-dial.html,Automatic,Stainless Steel,Arabic,Timing,2010 - Present,No
Breitling,Super Avenger B01,6895.00,https://www.bobswatches.com/breitling/breitling-super-avenger-b01-chronograph-46-black-index-dial.html,Automatic,Titanium,Index,Timing,2010 - Present,No
Breitling,Chronomat,5295.00,https://www.bobswatches.com/breitling/breitling-chronomat-gmt-black-dial.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,Yes
Breitling,Superocean,3895.00,https://www.bobswatches.com/breitling/breitling-superocean-automatic-44-green-dial-and-rubber-strap.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,No
Breitling,Superocean Heritage,4795.00,https://www.bobswatches.com/breitling/breitling-superocean-heritage-b20-automatic-46-green.html,Automatic,Stainless Steel,Index,Timing,2010 - Present,No
Breitling,Navitimer 8,2695.00,https://www.bobswatches.com/breitling/breitling-navitimer-8-stainless-steel-blue-dial.html,Automatic,Stainless Steel,Arabic,Slide Rule,2010 - Present,Yes
Breitling,Super Avenger,7295.00,https://www.bobswatches.com/breitling/breitling-super-avenger-b01-chronograph-46-night-mission-ceramic.html,Automatic,Ceramic,Arabic,Timing,2010 - Present,No
Breitling,Superocean,2595.00,https://www.bobswatches.com/breitling/breitling-superocean-ii-stainless-steel-blue-dial.html,Automatic,Stainless Steel,Arabic,Timing,2010 - Present,Yes
Breitling,Bentley,4395.00,https://www.bobswatches.com/breitling/breitling-bentley-gt-ii-stainless-steel-white-dial.html,Automatic,Stainless Steel,Index,Slide Rule,2010 - Present,Yes
Breitling,Chronomat,3995.00,https://www.bobswatches.com/breitling/breitling-chronomat-38-sleekt-stainless-steel.html,Automatic,Stainless Steel,Diamond,Smooth,2010 - Present,Yes
